State: US,All Substances,Heroin,Other opiates,Cocaine,Amphetamines,Other stimulants,Demographic
Total (Number),"1,982,686","513,847","152,081","104,503","206,119","2,151",Total by Number
Total,100,25.9,7.7,5.2,10.4,0.1,Total by Percent
Male,64.4,63.4,52.6,125.8,55.3,58.6,Gender
Female,35.6,36.5,47.4,74.1,44.6,41.4,Gender
12-17 years,3.5,0.2,0.4,1.4,1.3,4,Age
18-20 years,3.5,2,1.8,4.7,3.7,3.5,Age
21-25 years,12.5,14,12.3,16.2,14.6,12.7,Age
26-30 years,18.3,23.7,24,26.2,21.5,20,Age
31-35 years,16.1,18.4,21.4,27.4,20.5,20.7,Age
36-40 years,12.3,12.1,14.8,25.1,15.6,15,Age
41-45 years,8.6,7.7,8.2,21.9,9.2,9,Age
46-50 years,8.9,8,6.4,28.8,6.8,6.4,Age
51-55 years,8,6.7,5.1,26.5,4.2,5.1,Age
56-60 years,5.2,4.4,3.4,15.3,2,2.5,Age
61-65 years,2.2,2.1,1.5,5.1,0.6,0.9,Age
66 years and over,1,0.8,0.6,1.5,0.1,0.1,Age
White,65.7,71,81.2,90.5,75.7,73.1,Race
Black or African-American,18.4,15.1,8.3,85.1,5.2,15.4,Race
American Indian or Alaska Native,2.4,1.1,1.5,2.1,3.4,2,Race
Asian or Native Hawaiian or Other Pacific Islander,1.1,0.7,0.6,1.5,2.3,1.4,Race
Other,7.4,8,3.2,13,8.8,4.2,Race
Unknown,5.1,4.2,5.1,8,4.6,3.9,Race
